city_name,Latitude,Longitude
ABBOTSFORD,49.05044,-122.30447
ALDERGROVE,49.05805,-122.47067
BELLA BELLA,52.16054,-128.14558
BURNABY,49.24881,-122.98051
CHILLIWACK,49.15794,-121.95147
CORTES ISLAND,50.11666,-124.96666
CRANBROOK,49.51297,-115.17694
DAWSON CREEK,55.75963,-120.23766
FORT NELSON,58.80502,-122.69724
FORT ST JOHN,56.25242,-120.84641
GRAND FORKS,49.03009,-118.44514
HANEY,49.21701,-122.62276
KAMLOOPS,50.67452,-120.32727
KELOWNA,49.88795,-119.49601
LANGLEY,49.10418,-122.16603
NANAIMO,49.16588,-123.94006
NELSON,49.49281,-117.29483
NEW WESTMINSTER,49.20572,-122.91096
NORTH VANCOUVER,49.31998,-123.07241
OCEAN FALLS,52.35402,-127.69375
PITT MEADOWS,49.21906,-122.68952
PORT COQUITLAM,49.26284,-122.78107
PRINCE GEORGE,53.91706,-122.74967
PRINCETON,49.45896,-120.50616
QUESNEL,52.98174,-122.49491
RICHMOND,49.16659,-123.13357
SQUAMISH,49.70163,-123.15581
SURREY,49.19135,-122.84901
TERRACE,54.51819,-128.60315
TRAIL,49.09657,-117.71173
VANCOUVER,49.28273,-123.12074
VERNON,50.26701,-119.27201
VICTORIA,48.42842,-123.36564
WEST VANCOUVER,49.32863,-123.1602
WHITE ROCK,49.02531,-122.80296
WILLIAMS LAKE,52.14167,-122.14169
